PATH;LOCATION;VARIABLE_NAME_1;VARIABLE_NAME_2;RELAY_NAME_INST;RELAY_NAME;CB_PATH;TYPE;INIT_VALUE
LOCATION.INSTRUCTION, INTERFACE;VC1;Li_IVc1CcQtR1;Li_IVc1CcQtR2;VC1_CC_DET_QT;CC_DET_QT;cde_gen_dj_qt/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC1;Li_IVc1ZIsGrog1;Li_IVc1ZIsGrog2;Z_IS_GROG1_VC1;Z_IS_GROG1_VC1;;DINT;2
LOCATION.INSTRUCTION, INTERFACE;VC2;Ai_IVc2Ca1TempTfp;Ai_IVc2Ca2TempTfp;PT100_1_VC2;PT100_1_VC2;;REAL;9000.0
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2C1VtGvTfpR1;Li_IVc2C1VtGvTfpR2;VC2_C1_VT_GV_TFP;C1_VT_GV_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2C2VtGvTfpR1;Li_IVc2C2VtGvTfpR2;VC2_C2_VT_GV_TFP;C2_VT_GV_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcIsPtR1;Li_IVc2CcIsPtR2;CC_IS_PT;CC_IS_PT;isol_dj/f05p_ve1_isol_dj/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcMPhTfpR1;Li_IVc2CcMPhTfpR2;VC2_CC_M_PH_TFP;CC_M_PH_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcTfpR1;Li_IVc2CcTfpR2;VC2_CC_TFP;CC_TFP;sec_tfp/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcVtGvTfpR1;Li_IVc2CcVtGvTfpR2;VC2_CC_VT_GV_TFP;CC_VT_GV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcVtPvTfpR1;Li_IVc2CcVtPvTfpR2;VC2_CC_VT_PV_TFP;CC_VT_PV_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcVtTfpR1;Li_IVc2CcVtTfpR2;VC2_CC_VT_TFP;CC_VT_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CMPhTfpR1;Li_IVc2CMPhTfpR2;VC2_C_M_PH_TFP;C_M_PH_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CVtPvTfpR1;Li_IVc2CVtPvTfpR2;VC2_C_VT_PV_TFP;C_VT_PV_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2DjSiDfTfpR1;Li_IVc2DjSiDfTfpR2;VC2_DJ_SI_DF_TFP;DJ_SI_DF_TFP;sec_tfp/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2QDfCiTfpR1;Li_IVc2QDfCiTfpR2;VC2_Q_DF_CI_TFP;Q_DF_CI_TFP;sec_tfp/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2QDfTfpR1;Li_IVc2QDfTfpR2;VC2_Q_DF_TFP;Q_DF_TFP;sec_tfp/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2QMiTfpR1;Li_IVc2QMiTfpR2;VC2_Q_MH_TFP;Q_MH_TFP;sec_tfp/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2QqC30R1;Li_IVc2QqC30R2;QQ_C_30;QQ_C_30;palpage/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VE1;Ai_IVe1Ca1TempTfp;Ai_IVe1Ca2TempTfp;PT100_1_VE1;PT100_1_VE1;;REAL;9000.0
LOCATION.INSTRUCTION, INTERFACE;VE1;Li_IVe1BpUrgPtDe;;BP_URG_PT_DE_VE1;BP_URG_PT_DE_VE1;;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VE1;Li_IVe1C1VtGvTfpR1;Li_IVe1C1VtGvTfpR2;VE1_C1_VT_GV_TFP;C1_VT_GV_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VE1;Li_IVe1C2VtGvTfpR1;Li_IVe1C2VtGvTfpR2;VE1_C2_VT_GV_TFP;C2_VT_GV_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VE1;Li_IVe1CcDmrGrogR1;Li_IVe1CcDmrGrogR2;VE1_CC_DMR_GROG;CC_DMR_GROG;dem_arret_mot_diesel/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VE1;Li_IVe1CcMaSuPtR1;Li_IVe1CcMaSuPtR2;VE1_CC_MA_SU_PT;CC_MA_SU_PT;cde_panto/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VE1;Li_IVe1CcMPhTfpR1;Li_IVe1CcMPhTfpR2;VE1_CC_M_PH_TFP;CC_M_PH_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VE1;Li_IVe1CcQtR1;Li_IVe1CcQtR2;VE1_CC_DET_QT;CC_DET_QT;cde_gen_dj_qt/VE1/;BOOL;TRUE
