PATH	ELEMENT_TYPE	IMAGE_PATH	POS_X	POS_Y	SIZE_X	SIZE_Y	RNGE[0-0]_LEGEND	RNGE[1-1]_LEGEND	RNGE[1-1]_IMAGE	RNGE[0-49]_COLOR	RNGE[0-49]_LEGEND	RNGE[50-69]_COLOR	RNGE[50-69]_LEGEND	RNGE[70-109]_COLOR	RNGE[70-109]_LEGEND	RNGE[110-129]_COLOR	RNGE[110-129]_LEGEND	RNGE[130-139]_COLOR	RNGE[130-139]_LEGEND	RNGE[150-255]_COLOR	RNGE[150-255]_LEGEND
	ImageControl	HVS_FOND_TFP.png	0	0	793	428															
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_cooling/ITempTfp	SimpleView		336	28	61	29				R=0 G=255 B=0	Froid	R=182 G=255 B=0	Petite Vitesse	R=255 G=216 B=0	Petite Vitesse / Grande Vitesse	R=255 G=106 B=0	Grande Vitesse	R=255 G=0 B=0	Surtempérature	R=0 G=0 B=0	Too Late
hvs_xpu_app/hvs_4/hvs_4_VE1/hvs_d_4_vxx/Trc_IVxxWatAndOilPumpRunng	ImageViewVariable		336	57	61	29	Arrêté	En marche	HVS_FOND_TFP_CELL_GREEN.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_model/FFaultTfp	ImageViewVariable		336	88	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_model/FCritFaultTfp	ImageViewVariable		336	117	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_model/ILvCcVtGvTfp	ImageViewVariable		336	147	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_cooling/fan_ctrl/FCoolingNotAvail	ImageViewVariable		336	177	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_cooling/elab_cooling/FTempRedPowr	ImageViewVariable		336	207	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_model/ILvCcMPhTfp	ImageViewVariable		336	237	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_model/ILvQDfCiTfp	ImageViewVariable		336	267	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_model/FCritFaultTfp	ImageViewVariable		336	298	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_cooling/elab_cooling/FTempTfpIsol	ImageViewVariable		336	327	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_model/ILvDjSiDfTfp	ImageViewVariable		336	357	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VE1/tfp_model/ILvQSecTfp	ImageViewVariable		336	387	61	29	Défaut présent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_GREEN.png												
hvs_xpu_app/hvs_4/hvs_4_VIUFR1/tfp_cooling/ITempTfp	SimpleView		400	28	61	29				R=0 G=255 B=0	Froid	R=182 G=255 B=0	Petite Vitesse	R=255 G=216 B=0	Petite Vitesse / Grande Vitesse	R=255 G=106 B=0	Grande Vitesse	R=255 G=0 B=0	Surtempérature	R=0 G=0 B=0	Too Late
hvs_xpu_app/hvs_4/hvs_4_VIUFR1/hvs_d_4_vxx/Trc_IVxxWatAndOilPumpRunng	ImageViewVariable		400	57	61	29	Arrêté	En marche	HVS_FOND_TFP_CELL_GREEN.png												
hvs_xpu_app/hvs_4/hvs_4_VIUFR1/tfp_model/FFaultTfp	ImageViewVariable		400	88	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
hvs_xpu_app/hvs_4/hvs_4_VIUFR1/tfp_model/FCritFaultTfp	ImageViewVariable		400	117	61	29	Défaut absent (0 logique)	Défaut présent (1 logique)	HVS_FOND_TFP_CELL_RED.png												
