PATH	ELEMENT_TYPE	IMAGE_PATH	POS_X	POS_Y	SIZE_X	SIZE_Y	RNGE[0-0]_LEGEND	RNGE[0-0]_COLOR	RNGE[0-0]_IMAGE	RNGE[1-1]_LEGEND	RNGE[1-1]_IMAGE	RNGE[1-1]_COLOR
	ImageControl	FSD_BGND.png	0	0	1312	328						
Fsd_FVc1FireDtcdPwp1	ImageViewVariable		270	172	16	16	R.A.S.	GREEN	HVS_BTN_OK_16.png	Incendie détecté	HVS_BTN_KO_16.png	RED
Fsd_FVc1FireDtcdPwp2	ImageViewVariable		318	172	16	16	R.A.S.	GREEN	HVS_BTN_OK_16.png	Incendie détecté	HVS_BTN_KO_16.png	RED
Fsd_FVc1FltFsdPwp1	ImageViewVariable		270	125	16	16	R.A.S.	GREEN	HVS_BTN_OK_16.png	Détection d'incendie en défaut	HVS_BTN_KO_16.png	RED
Fsd_FVc1FltFsdPwp2	ImageViewVariable		318	125	16	16	R.A.S.	GREEN	HVS_BTN_OK_16.png	Détection d'incendie en défaut	HVS_BTN_KO_16.png	RED
Fsd_FVc1FsdStopNotRequestPwp1	ImageViewVariable		270	217	16	16	Arrêt demandé par FSD	RED	HVS_BTN_KO_16.png	R.A.S.	HVS_BTN_OK_16.png	GREEN
Fsd_FVc1FsdStopNotRequestPwp2	ImageViewVariable		318	217	16	16	Arrêt demandé par FSD	RED	HVS_BTN_KO_16.png	R.A.S.	HVS_BTN_OK_16.png	GREEN
Fsd_FVc1IsolPwp1	ImageViewVariable		270	262	16	16	R.A.S.	GREEN	HVS_BTN_OK_16.png	Isolement de l'équipement demandé	HVS_BTN_KO_16.png	RED
Fsd_FVc1IsolPwp2	ImageViewVariable		318	262	16	16	R.A.S.	GREEN	HVS_BTN_OK_16.png	Isolement de l'équipement demandé	HVS_BTN_KO_16.png	RED
Fsd_FVc1LostWatchPwp1	ImageViewVariable		270	79	16	16	R.A.S.	GREEN	HVS_BTN_OK_16.png	Perte de la surveillande d'incendie	HVS_BTN_KO_16.png	RED
