PATH;VARIABLE_NAME;RELAY_NAME;CB_PATH;TYPE_BT;TYPE_MPU;BOOLEAN;INIT_VALUE;ID_REF;X_POS_I;X_CENTER;X_POS_F;Y_POS_I;Y_CENTER;Y_POS_F
LOCATION, INTERFACE;Ai_IVc2Ca1TempTfp;PT100_1_VC2;;REAL;INT;0;9000.0;Var0;120;160;200;80;100;120
LOCATION, INTERFACE;Ai_IVc2Ca2TempTfp;PT100_1_VC2;;REAL;INT;0;9000.0;Var1;360;400;440;80;100;120
LOCATION, INTERFACE;Ai_IVe1Ca1TempTfp;PT100_1_VE1;;REAL;INT;0;9000.0;Var2;120;160;200;160;180;200
LOCATION, INTERFACE;Ai_IVe1Ca2TempTfp;PT100_1_VE1;;REAL;INT;0;9000.0;Var3;360;400;440;160;180;200
LOCATION, INTERFACE;Ai_IVe2Ca1TempTfp;PT100_1_VE2;;REAL;INT;0;9000.0;Var4;120;160;200;240;260;280
LOCATION, INTERFACE;Ai_IVe2Ca2TempTfp;PT100_1_VE2;;REAL;INT;0;9000.0;Var5;360;400;440;240;260;280
LOCATION, INTERFACE;Ai_IVi2Ca1TempTfp;PT100_1_VI2;;REAL;INT;0;9000.0;Var6;120;160;200;320;340;360
LOCATION, INTERFACE;Ai_IVi2Ca2TempTfp;PT100_1_VI2;;REAL;INT;0;9000.0;Var7;360;400;440;320;340;360
LOCATION, INTERFACE;Ai_IViuCa1HvDtcd;Capteur1;;REAL;INT;0;9000.0;Var8;120;160;200;400;420;440
LOCATION, INTERFACE;Ai_IViuCa1TempTfp;PT100_1_VIUFR;;REAL;INT;0;9000.0;Var9;360;400;440;400;420;440
LOCATION, INTERFACE;Ai_IViuCa2HvDtcd;Capteur2;;REAL;INT;0;9000.0;Var10;120;160;200;480;500;520
LOCATION, INTERFACE;Ai_IViuCa2TempTfp;PT100_2_VIUFR;;REAL;INT;0;9000.0;Var11;360;400;440;480;500;520
LOCATION, INTERFACE;Li_IVc1CcQtR1;CC_DET_QT;cde_gen_dj_qt/VE1/;BOOL;BOOL;1;TRUE;Var12;120;160;200;560;580;600
