PATH;LOCATION;VARIABLE_NAME;RELAY_NAME;CB_PATH;TYPE;INIT_VALUE
LOCATION.INSTRUCTION, INTERFACE;VC1;Li_IVc1CcQtR1;CC_DET_QT;cde_gen_dj_qt/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC1;Li_IVc1CcQtR2;CC_DET_QT;cde_gen_dj_qt/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2C1VtGvTfpR1;C1_VT_GV_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2C1VtGvTfpR2;C1_VT_GV_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2C2VtGvTfpR1;C2_VT_GV_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2C2VtGvTfpR2;C2_VT_GV_TFP;cde_tfp/VC2/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcIsPtR1;CC_IS_PT;isol_dj/f05p_ve1_isol_dj/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcIsPtR2;CC_IS_PT;isol_dj/f05p_ve1_isol_dj/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcMPhTfpR1;CC_M_PH_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcMPhTfpR2;CC_M_PH_TFP;puis_tfp/f05v_ve1_puis_tfp/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcTfpR1;CC_TFP;sec_tfp/VE1/;BOOL;TRUE
LOCATION.INSTRUCTION, INTERFACE;VC2;Li_IVc2CcTfpR2;CC_TFP;sec_tfp/VE1/;BOOL;TRUE
